label,width,depth,compute_ms,nodes,elo,elo_lo,elo_hi,on_front
w32d3,32,3,4.308,64,397.29628583644853,326.2077570055689,526.7096733429577,False
w32d4,32,4,6.607,96,602.1729624592035,527.5421113560633,733.1563973178718,False
w32d5,32,5,8.822,128,742.5051173214758,672.2447086476992,871.8476468801897,False
w32d6,32,6,12.963,160,851.8218576581104,781.4836887654097,982.4146537127846,False
w32d7,32,7,16.995,192,908.0064978352729,836.6353241759697,1044.0062286410332,False
w32d9,32,9,23.98,256,985.9497734074927,910.3755765935069,1123.6652436117092,True
w48d2,48,2,3.437,48,101.33549793264939,0.0,225.44941757517228,False
w48d3,48,3,6.78,96,407.8573084954808,327.65244230536115,533.0043694840467,False
w48d4,48,4,9.972,144,620.6139284287992,546.1431468200756,752.0417250387087,False
w48d5,48,5,13.077,192,776.6527250368188,706.3321942251614,912.4142692780301,False
w48d6,48,6,19.896,240,861.7584510585059,797.9798697185404,986.5620074692957,False
w48d7,48,7,25.595,288,952.9770876389315,886.4360701776425,1087.0496312325065,False
w48d9,48,9,37.654,384,987.8811888969942,919.6402803143636,1122.0962310629654,True
w64d2,64,2,4.558,64,94.97065056133022,9.820591375936115,229.51656525631728,False
w64d3,64,3,8.705,128,454.79227735549216,380.8364593000189,585.0551285693896,False
w64d4,64,4,13.009,192,614.9768027786955,540.3676275093244,747.4845660806953,False
w64d5,64,5,17.681,256,819.272147116621,742.717468771404,954.9301117874859,False
w64d6,64,6,26.007,320,920.856084596797,848.1174910684962,1062.2075655811393,False
w64d7,64,7,34.49,384,967.5780806759641,894.8556091249194,1099.6272792403613,False
w64d9,64,9,51.488,512,1026.1654824300647,940.8157635385573,1170.721297426344,False
w96d2,96,2,5.044,76,114.75278981988498,17.166567461301497,253.04088807445353,False
w96d3,96,3,11.594,172,466.73687320935824,382.2983948887603,609.6480595322893,False
w96d4,96,4,17.604,268,713.6616284706811,634.499190245062,853.2629993999524,False
w96d5,96,5,24.487,364,768.8633941598512,685.5578397396098,912.2156102194396,False
w96d6,96,6,38.134,460,948.2694546449561,872.0584103911299,1093.0234209305063,False
w96d7,96,7,50.516,556,1041.942483584495,975.0820118016837,1178.014991481691,True
w96d9,96,9,73.273,748,1108.3448992001088,1025.6307459507307,1263.3364041563502,True
w128d2,128,2,4.948,76,112.71927896805909,1.704183994921345,256.7720389224941,False
w128d3,128,3,15.008,204,453.25661380234334,360.24724886336776,602.1204134503757,False
w128d4,128,4,23.947,332,709.1601059434909,631.2829640445036,847.0311259013421,False
w128d5,128,5,33.514,460,838.7911045945983,757.9482487394469,992.9831285550523,False
w128d6,128,6,50.773,588,992.3116212946561,917.6217062951357,1142.9261344633524,False
w128d7,128,7,66.123,716,1057.8218247863447,983.9570826009871,1210.395950911135,True
w128d9,128,9,99.74,972,1127.8333326070538,1044.786909233121,1271.1304471130843,True
